UniqueIDMoisture,UniqueIDMercury,ConcatenateTest,Program,ParentProject,Project,StationCode,StationName,LocationCode,CommonName,FinalID,TissueName,TissuePrep,MatrixDisplay,MoistureAnalyte,MoistureResultType,MoistureResult,MoistureUnit,MercuryAnalyte,MercuryResultType,MercuryResult,MercuryUnit,SampleYear,Region,TargetLatitude,TargetLongitude,TLAvgLength_mm,DataQuality,DataQualityIndicator,N_in_Avg,ND_in_Avg,DisplayText
205PAL221-2008-Largemouth Bass,205PAL221-2008-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PAL221,Almaden Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.711818,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.08283,ug/g ww,2008,2,37.241,-121.87131,357.64,Passed,,11,0,
205PCL212-2017-Black Crappie,205PCL212-2017-Black Crappie,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,205PCL212,Coyote Lake,NA,Black Crappie,Pomoxis nigromaculatus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,80.89,%,"Mercury, Total",Average of Individuals >=305 mm,0.074,ug/g ww,2017,2,37.09221,-121.53711,290,Passed,,2,0,
205PCL212-2008-Largemouth Bass,205PCL212-2008-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PCL212,Coyote Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,74.82,%,"Mercury, Total",Average of Individuals,0.12,ug/g ww,2008,2,37.09221,-121.53711,332.18,Passed,,11,0,
205PCL212-2016-Largemouth Bass,205PCL212-2016-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,205PCL212,Coyote Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.100909,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.971322,ug/g ww,2016,2,37.09221,-121.53711,351.45,Passed,,11,0,
205PCL212-2017-Largemouth Bass,205PCL212-2017-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,205PCL212,Coyote Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,80.344545,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,2.193198,ug/g ww,2017,2,37.09221,-121.53711,329.45,Passed,,11,0,
205PCR128-2008-Largemouth Bass,205PCR128-2008-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PCR128,Calero Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,76.796875,%,"Mercury, Total",Average of Individuals,0.647,ug/g ww,2008,2,37.17839,-121.77731,357.69,Passed,,16,0,
205PCR128-2021-Largemouth Bass,205PCR128-2021-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,205PCR128,Calero Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.64,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.744178,ug/g ww,2021,2,37.17839,-121.77731,355.5,Passed,,14,0,
205PLR144-2019-Largemouth Bass,205PLR144-2019-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205PLR144,Lexington Reservoir_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.470833,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.67339,ug/g ww,2019,2,37.17349,-121.9856,374,Passed,,12,0,
205PLR144-2019-Spotted Bass,205PLR144-2019-Spotted Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205PLR144,Lexington Reservoir_BOG,NA,Spotted Bass,Micropterus punctulatus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.085714,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.818776,ug/g ww,2019,2,37.17349,-121.9856,350.5,Passed,,14,0,
205PLV218-2008-Largemouth Bass,205PLV218-2008-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,205PLV218,Lake Vasona,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.727273,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,1.104615,ug/g ww,2008,2,37.2439,-121.96902,334.64,Passed,,11,0,
205PLV218-2011-Largemouth Bass,205PLV218-2011-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lake Vasona Bioaccumulation Study 2011,205PLV218,Lake Vasona,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.779,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.501138,ug/g ww,2011,2,37.2439,-121.96902,394.1,Passed,,10,0,
205PLV218-2015-Largemouth Bass,205PLV218-2015-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2015,205PLV218,Lake Vasona,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.492727,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.552534,ug/g ww,2015,2,37.2439,-121.96902,336.27,Passed,,11,0,
205PSC048-2007-Largemouth Bass,205PSC048-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205PSC048,Stevens Creek Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.029091,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.702961,ug/g ww,2007,2,37.2958,-122.0789,317.73,Passed,,11,0,
205PSC048-2019-Largemouth Bass,205PSC048-2019-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205PSC048,Stevens Creek Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.495,%,"Mercury, Total",Average of Individuals >=305 mm L1,0.179125,ug/g ww,2019,2,37.2958,-122.0789,347.57,Passed,,14,0,
205ST0538-2019-Bluegill,205ST0538-2019-Bluegill,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ST0538,Guadalupe Reservoir-205ST0538,NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.296,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.139382,ug/g ww,2019,2,37.1925,-121.8727,128.6,Passed,,5,0,
205ST0538-2019-Largemouth Bass,205ST0538-2019-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ST0538,Guadalupe Reservoir-205ST0538,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.014,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.169967,ug/g ww,2019,2,37.1925,-121.8727,353.73,Passed,,15,0,
205ST0538-2019-Rainbow Trout,205ST0538-2019-Rainbow Trout,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ST0538,Guadalupe Reservoir-205ST0538,NA,Rainbow Trout,Oncorhynchus mykiss,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.58,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.756086,ug/g ww,2019,2,37.1925,-121.8727,252.5,Passed,,4,0,
205TU0132-2007-Largemouth Bass,205TU0132-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205TU0132,Oiger Quarry Ponds,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,79.291818,%,"Mercury, Total",Average of Individuals >=305 mm,0.74,ug/g ww,2007,2,37.18304,-121.69343,362.36,Passed,,11,0,
205TU0132-2019-Largemouth Bass,205TU0132-2019-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205TU0132,Oiger Quarry Ponds,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.688571,%,"Mercury, Total",Average of Individuals,1.0344,ug/g ww,2019,2,37.18304,-121.69343,339.29,Passed,,14,0,
206LHENSY-2013-Largemouth Bass,206LHENSY-2013-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Wildlife Contamination in Lakes and Resrv,Statewide Lakes Wildlife Contamination Study 2013,206LHENSY,Lake Hennessey,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.568,%,"Mercury, Total",Average of 350 mm Length-Adjusted,4.275,ug/g ww,2013,2,38.48947,-122.375956,363.4,Passed,,10,0,
206PLC157-2007-Largemouth Bass,206PLC157-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,206PLC157,Lake Chabot (Vallejo),L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.1,%,"Mercury, Total",Average of Individuals,3.815,ug/g ww,2007,2,38.13618,-122.23565,321.09,Passed,,11,0,
206PLC157-2021-Largemouth Bass,206PLC157-2021-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,206PLC157,Lake Chabot (Vallejo),NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.311429,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.407893,ug/g ww,2021,2,38.13618,-122.23565,349.36,Passed,,14,0,
206PSP205-2007-Largemouth Bass,206PSP205-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,206PSP205,San Pablo Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,77.630909,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.457476,ug/g ww,2007,2,37.92298363,-122.237903,271.64,Passed,,11,0,
206PSP205-2017-Largemouth Bass,206PSP205-2017-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,206PSP205,San Pablo Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.995455,%,"Mercury, Total",Average of Individuals >=305 mm,0.4528,ug/g ww,2017,2,37.92298363,-122.237903,318.64,Passed,,11,0,
206PSP205-2023-Largemouth Bass,206PSP205-2023-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2023,206PSP205,San Pablo Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.667143,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.416296,ug/g ww,2023,2,37.92298363,-122.237903,329.29,Passed,,14,0,
206STAFLK-2016-Largemouth Bass,206STAFLK-2016-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,206STAFLK,Stafford Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.689091,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.40664,ug/g ww,2016,2,38.11392,-122.64416,332.36,Passed,,11,0,
206TB0298-2007-Largemouth Bass,206TB0298-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,206TB0298,Briones Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,76.76375,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.511974,ug/g ww,2007,2,37.92423,-122.19054,444.56,Passed,,16,0,
206TH0126-2007-Largemouth Bass,206TH0126-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,206TH0126,Lake Henne,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,79.54375,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.604825,ug/g ww,2007,2,38.58773,-122.46204,334.88,Passed,,16,0,
206TH0126-2019-Largemouth Bass,206TH0126-2019-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,206TH0126,Lake Henne,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.599286,%,"Mercury, Total",Average of 350 mm Length-Adjusted,1.067029,ug/g ww,2019,2,38.58773,-122.46204,326.43,Passed,,14,0,
207PLF001-2008-Largemouth Bass,207PLF001-2008-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,207PLF001,Lafayette Reservoir_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.700909,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.473081,ug/g ww,2008,2,37.88237,-122.14128,339.82,Passed,,11,0,
207PLF001-2021-Largemouth Bass,207PLF001-2021-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,207PLF001,Lafayette Reservoir_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.232857,%,"Mercury, Total",Average of Individuals >=305 mm L1,0.285562,ug/g ww,2021,2,37.88237,-122.14128,352.43,Passed,,14,0,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.405654,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of 350 mm Length-Adjusted,0.553052,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.332587,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of 350 mm Length-Adjusted,0.166621,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.081,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.289,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.201,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.341,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.8,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.1385,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.208,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,1.22,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.832,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.129,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.052,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.041,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.242,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.2675,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.0985,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.427,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.134,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.184,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.039,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.073,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.053,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.045,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.067,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.058,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.046,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.085,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.103,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.1055,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.043,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.063,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.091,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.262,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.081,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.033,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.255,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.083,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.268,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.035,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.416,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.122667,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.113,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.238,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.155,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.118,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.263,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.084,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.078,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.083,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.067,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.023,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.089,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.1585,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.543333,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.222,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.1185,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.095,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.101,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.0605,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.383,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.138,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.0045,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.155,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.4145,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.269,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.2485,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,1.035,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.0985,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.012,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.2785,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.0985,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.02,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.116,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.0605,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.1425,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.147,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.2545,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.365,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.365,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.2545,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.019,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.416,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.338,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.195,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.191,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.2125,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.408,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.2725,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.1025,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.1605,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.0935,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.149,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.057,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.108,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.042,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.101,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,1,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.306,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.2855,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.0785,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.139,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.131,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.362,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.1345,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.074,ug/g ww,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Mercury, Total",Average of Composites,0.103,ug/g ww,,,,,,,,,,
